Dataset,Original Rows,Columns,Type,Silhouettescore,DaviesBouldinscore,Calinskiharabazscore,Cohesionscore,Separationscore,RMSSTDscore,RSscore,XBscore,Adjustedrandomscore,Adjusted_mutual_info_score,Fowlkes_mallows_score,Normalizedmutualinfoscore,imbalanced_ratio_before_sampling,total_hypersphere,hypersphere_minority,hypersphere_majority,samplesperhypersphere,samplesperhypersphere_minority,samplesperhypersphere_majority,Average distance between class,overlapping,None,SMOTE,NearMiss,SMOTEENN,Randomoversampling,ADASYN,BorderlineSMOTE,SVMSMOTE,RandomUnderSampler,ClusterCentroids,NearMissversion1,NearMissversion2,NearMissversion3,TomekLinks,EditedNearestNeighbours,RepeatedEditedNearestNeighbours,AllKNN,CondensedNearestNeighbour,NeighbourhoodCleaningRule,InstanceHardnessThreshold,SMOTETomek,KNN,DT,GNB,SVM,RF,F1,G-mean,Accuracy,Precision,Recall
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.184444444,0.252847399,0.948019756,0.6,0.113888889
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.252746621,0.521812752,0.897455969,0.222991453,0.333333333
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.273232323,0.603462353,0.8329699,0.210551948,0.447222222
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.942549623,0,0
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.265454545,0.402924782,0.946659212,0.7,0.169444444
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.937982392,0.933176943,0.934679842,0.895159649,0.985486089
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.900718385,0.895937619,0.896956522,0.872460682,0.931767693
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.714216722,0.68762549,0.6936917,0.677495879,0.760541627
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.867683954,0.869543899,0.870097497,0.883565431,0.853379879
abalone9-18.csv,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.954464383,0.953361016,0.953567852,0.940037077,0.96954406
